name,category,subcategory,price,description,sizes,stock
Unisex Granny Square Shirt,men,shirt,2000,"Unisex Granny Square Shirt. Note: Only S size is available and ready to ship. Other sizes are customizable and will take extra time to prepare.","XS,S,M,L,XL,XXL,XXXL",10
Unisex Granny Square Polo T-Shirt,men,t-shirt,2000,"Unisex Granny Square Shirt. Note: Only S size is available and ready to ship. Other sizes are customizable and will take extra time to prepare.","XS,S,M,L,XL,XXL,XXXL",10
Women's Top,women,top,650,"Half sleeves PimPom Top, round neck. Note: Only S size is available and ready to ship. Other sizes are customizable and will take extra time to prepare.","XS,S,M,L,XL,XXL,XXXL",15
Polo Neck Women's Crop Top,women,top,600,"Sleeveless Collared Polo neck top. Note: Only S size is available and ready to ship. Other sizes are customizable and will take extra time to prepare.","XS,S,M,L,XL,XXL,XXXL",12
Unisex Granny Square Crop Top,women,crop top,900,"Unisex Granny Square Shirt. Note: Only S size is available and ready to ship. Other sizes are customizable and will take extra time to prepare.","XS,S,M,L,XL,XXL,XXXL",8
Mesh Net Women's Crop Top,women,crop top,700,"Mesh net crop top with sleeves. Note: Only S size is available and ready to ship. Other sizes are customizable and will take extra time to prepare.","XS,S,M,L,XL,XXL,XXXL",10
Women's V-Neck Crop Top,women,crop top,1500,"V-neck, with half sleeves. Note: Only S size is available and ready to ship. Other sizes are customizable and will take extra time to prepare.","XS,S,M,L,XL,XXL,XXXL",6
Women's Lace Crop Top,women,crop top,1000,Lace Top,"XS,S,M,L,XL,XXL,XXXL",8
Women's Tank Top,women,crop top,700,Tank Top,"XS,S,M,L,XL,XXL,XXXL",12
Women's Front Tie Shrug,women,shrug,600,Front Tie Ribbed crop Cardigan,"XS,S,M,L,XL,XXL,XXXL",10
Mesh Net Women's Shrug,women,shrug,500,Front Tie mesh net vest,"XS,S,M,L,XL,XXL,XXXL",8
Women's Bolero Shrug,women,shrug,500,Bolero Shrug,"XS,S,M,L,XL,XXL,XXXL",12
Women's Vest Top,women,shrug,900,Vest Top,"XS,S,M,L,XL,XXL,XXXL",6
Women's Floral Lace Tank Top,women,crop top,450,Floral lace tank top,"XS,S,M,L,XL,XXL,XXXL",15
Women's Summer Tank Top,women,crop top,600,Summer May Tank Top,"XS,S,M,L,XL,XXL,XXXL",10
Distressed Women's Crop Top,women,crop top,450,Distressed crop Top,"XS,S,M,L,XL,XXL,XXXL",8
Born Baby Frock - Pink,kids,girl baby,600,Born Baby Frock,"0-3M,3-6M,6-12M,12-18M",5
Born Baby Frock - Violet,kids,girl baby,600,Born Baby Frock,"0-3M,3-6M,6-12M,12-18M",5
Born Baby Frock - Red,kids,girl baby,600,Born Baby Frock,"0-3M,3-6M,6-12M,12-18M",5
Born Baby Frock Full Set - Orange,kids,girl baby,1500,Born Baby Frock full set,"0-3M,3-6M,6-12M,12-18M",3
Born Baby Frock - Olive Green,kids,girl baby,400,Born Baby Frock,"0-3M,3-6M,6-12M,12-18M",8
Round Beanie - Sandal,accessories,beanie,300,Round light sandal colour beanie,One Size,20
Striped Beanie - Sandal,accessories,beanie,300,Round light sandal colour beanie with stripes,One Size,15
Multi Colour Slouchy Beanie,accessories,beanie,600,Multi colour slouchy,One Size,10
Rabbit Beanie - Violet,accessories,beanie,500,Rabbit beanie,One Size,8
Round Beanie - Violet,accessories,beanie,400,Round beanie,One Size,12
Ribbed Slouchy Beanie - Grey,accessories,beanie,600,Ribbed Slouchy,One Size,10
Maroon Scarf,accessories,scarf,350,Dimensions - 5 inch * 60 inch,One Size,15
Zigzag Knitted Scarf,accessories,scarf,1700,"Zigzag Knitted Scarf, dimensions - 6.5 inch * 83 inch",One Size,5
Classic Chevron Ridge Scarf,accessories,scarf,1500,Dimensions - 6.5 inch * 82 inch,One Size,6
Triangle Prayer Shawl,accessories,shawl,1000,Triangle prayer shawl,One Size,8
Checkered Scarf,accessories,scarf,1500,Checkered Scarf with twisted fringes,One Size,5
Hoodie Scarf,accessories,scarf,1500,Hoodie Scarf,One Size,4
Eyelet Scarf,accessories,scarf,1200,"Eyelet Scarf, dimensions - 7 inch * 65 inch",One Size,6
Green Knitted Scarf,accessories,scarf,600,Green Knitted Scarf,One Size,10
Blue Granny Square Scarf,accessories,scarf,1800,Blue Granny Square Scarf with beads fringes,One Size,3
Black Mustard Table Runner,tabledecor,table runner,300,"Black Mustard table Runner, dimensions - 9 inch * 29 inch",One Size,12
Doily Coaster,tabledecor,tea coaster,100,Doily Coaster,One Size,25
Spiral Coaster,tabledecor,tea coaster,100,Spiral Coaster,One Size,30
Square Coaster,tabledecor,tea coaster,100,Square Coaster,One Size,30
Baby Whale Amigurumi Keychain,accessories,keychains,150,Baby Whale Amigurumi,Medium,20
Heart Keychains,accessories,keychains,100,Heart Keychains,Medium,25
Flower Keychains,accessories,keychains,70,Flower Keychains,Medium,30
Fish Keychains - Single Color,accessories,keychains,50,Fish Keychains Single colour,Medium,35
Fish Keychains - Double Color,accessories,keychains,50,Fish Keychains Double colour,Medium,35
Butterfly Keychains,accessories,keychains,75,Butterfly Keychains,Medium,25
Scrunchies - Single Color,accessories,scrunchies,40,Scrunchies Single colour,One Size,40
Scrunchies - Multi Color,accessories,scrunchies,50,Scrunchies Multi-colour,One Size,35
Hairclips,accessories,hairclips,30,Hairclips,One Size,50
T-Shirt Yarn Bags,bags,sling bags,200,T-Shirt Yarn Bags,One Size,15
Green Cotton Sling Bag,bags,sling bags,500,Sling bag,One Size,8
Yellow Sling Bag,bags,sling bags,500,Sling bag,One Size,8
Sling Phone Bag,bags,sling phone bags,200,Sling bag,One Size,12
Yellow Variegated Sling Bag,bags,sling bags,700,Sling bag,One Size,6